fid,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,x,y
1,06,075,00277302,0500000US06075,06075,San Francisco,06,121485107,479107241,-122.43857,37.75215
2,25,025,00606939,0500000US25025,25025,Suffolk,06,150855462,160479920,-71.07850,42.32795
3,31,007,00835826,0500000US31007,31007,Banner,06,1932676697,397069,-103.71143,41.54634
4,37,181,01008591,0500000US37181,37181,Vance,06,653705784,42187365,-78.40671,36.36881
5,48,421,01383996,0500000US48421,48421,Sherman,06,2390651189,428754,-101.89332,36.27751
6,50,011,01461762,0500000US50011,50011,Franklin,06,1641633748,150930318,-72.91250,44.85628
7,51,680,01498429,0500000US51680,51680,Lynchburg,25,126842531,1428787,-79.19888,37.40021
8,05,099,00069169,0500000US05099,05099,Nevada,06,1600192985,7254365,-93.30632,33.66340
9,08,014,01945881,0500000US08014,08014,Broomfield,06,85478932,1411395,-105.05663,39.95999
10,16,065,00394803,0500000US16065,16065,Madison,06,1215396379,10500827,-111.65385,43.78141
11,17,027,00424215,0500000US17027,17027,Clinton,06,1227823898,75642557,-89.42385,38.60705
12,19,025,00465202,0500000US19025,19025,Calhoun,06,1475894622,5873828,-94.64046,42.38521
13,21,129,00516911,0500000US21129,21129,Lee,06,540937712,6215038,-83.71514,37.59646
14,22,063,00558083,0500000US22063,22063,Livingston,15,1678750672,112119167,-90.73062,30.44144
15,31,097,00835870,0500000US31097,31097,Johnson,06,973968228,1766531,-96.26523,40.39258
16,31,101,00835872,0500000US31101,31101,Keith,06,2749531887,124672175,-101.66202,41.19930
17,51,775,01789074,0500000US51775,51775,Salem,25,37599554,277514,-80.06219,37.28362
18,48,493,01384032,0500000US48493,48493,Wilson,06,2081662847,12111367,-98.08693,29.17326
19,48,115,01383843,0500000US48115,48115,Dawson,06,2331781556,4720730,-101.94772,32.74256
20,46,051,01265782,0500000US46051,46051,Grant,06,1764949271,15753610,-96.77002,45.17239
21,72,101,01804531,0500000US72101,72101,Morovis,13,100676181,139537,-66.42180,18.31881
22,05,067,00066861,0500000US05067,05067,Jackson,06,1641853230,19623381,-91.21495,35.59803
23,51,670,01498428,0500000US51670,51670,Hopewell,25,26668801,1324529,-77.29755,37.29186
24,46,003,01266983,0500000US46003,46003,Aurora,06,1834813747,11201379,-98.56050,43.71758
25,18,031,00450345,0500000US18031,18031,Decatur,06,964946087,1955470,-85.50087,39.30713
26,18,169,00450399,0500000US18169,18169,Wabash,06,1068205084,22117118,-85.79328,40.84704
27,19,161,00465269,0500000US19161,19161,Sac,06,1489300182,8569441,-95.10548,42.38624
28,37,107,01008568,0500000US37107,37107,Lenoir,06,1033630023,5900300,-77.64246,35.24033
